Wvlgth nm,Global tilt  W*m-2*nm-1
280,4.73E-23
280.5,1.23E-21
281,5.69E-21
281.5,1.57E-19
282,1.19E-18
282.5,4.54E-18
283,1.85E-17
283.5,3.54E-17
284,7.27E-16
284.5,2.49E-15
285,8.01E-15
285.5,4.26E-14
286,1.37E-13
286.5,8.38E-13
287,2.74E-12
287.5,1.09E-11
288,6.23E-11
288.5,1.72E-10
289,5.63E-10
289.5,2.07E-09
290,6.02E-09
290.5,1.38E-08
291,3.51E-08
291.5,1.09E-07
292,2.68E-07
292.5,4.27E-07
293,8.65E-07
293.5,2.27E-06
294,4.17E-06
294.5,6.59E-06
295,1.23E-05
295.5,2.78E-05
296,4.79E-05
296.5,7.13E-05
297,9.68E-05
297.5,1.86E-04
298,2.90E-04
298.5,3.58E-04
299,4.92E-04
299.5,8.61E-04
300,1.02E-03
300.5,1.25E-03
301,1.93E-03
301.5,2.69E-03
302,2.92E-03
302.5,4.28E-03
303,7.09E-03
303.5,8.98E-03
304,9.47E-03
304.5,1.20E-02
305,1.65E-02
305.5,1.87E-02
306,1.86E-02
306.5,2.11E-02
307,2.78E-02
307.5,3.56E-02
308,3.78E-02
308.5,4.14E-02
309,4.05E-02
309.5,4.33E-02
310,5.09E-02
310.5,6.55E-02
311,8.29E-02
311.5,8.41E-02
312,9.34E-02
312.5,9.90E-02
313,1.07E-01
313.5,1.08E-01
314,1.20E-01
314.5,1.31E-01
315,1.36E-01
315.5,1.18E-01
316,1.23E-01
316.5,1.50E-01
317,1.72E-01
317.5,1.82E-01
318,1.76E-01
318.5,1.86E-01
319,2.05E-01
319.5,1.96E-01
320,2.05E-01
320.5,2.45E-01
321,2.50E-01
321.5,2.38E-01
322,2.22E-01
322.5,2.17E-01
323,2.12E-01
323.5,2.49E-01
324,2.75E-01
324.5,2.83E-01
325,2.79E-01
325.5,3.24E-01
326,3.81E-01
326.5,4.07E-01
327,3.98E-01
327.5,3.85E-01
328,3.51E-01
328.5,3.72E-01
329,4.22E-01
329.5,4.69E-01
330,4.71E-01
330.5,4.28E-01
331,4.03E-01
331.5,4.18E-01
332,4.36E-01
332.5,4.39E-01
333,4.29E-01
333.5,4.07E-01
334,4.15E-01
334.5,4.45E-01
335,4.64E-01
