wavelength,irradiance
300,9.09E-05
301,1.19E-04
302,1.02E-04
303,1.14E-04
304,1.12E-04
305,8.20E-05
306,1.07E-04
307,1.45E-04
308,3.10E-04
309,5.46E-04
310,9.11E-04
311,1.24E-03
312,1.59E-03
313,1.77E-03
314,1.75E-03
315,1.52E-03
316,1.23E-03
317,9.81E-04
318,7.14E-04
319,5.41E-04
320,4.27E-04
321,4.74E-04
322,5.29E-04
323,5.63E-04
324,6.27E-04
325,7.18E-04
326,7.68E-04
327,8.56E-04
328,9.31E-04
329,1.01E-03
330,1.13E-03
331,1.29E-03
332,1.40E-03
333,1.56E-03
334,1.67E-03
335,1.71E-03
336,1.76E-03
337,1.71E-03
338,1.70E-03
339,1.66E-03
340,1.62E-03
341,1.63E-03
342,1.63E-03
343,1.65E-03
344,1.67E-03
345,1.67E-03
346,1.69E-03
347,1.71E-03
348,1.75E-03
349,1.72E-03
350,1.73E-03
351,1.74E-03
352,1.73E-03
353,1.74E-03
354,1.74E-03
355,1.72E-03
356,1.72E-03
357,1.73E-03
358,1.75E-03
359,2.01E-03
360,2.67E-03
361,4.01E-03
362,5.85E-03
363,7.82E-03
364,9.54E-03
365,1.06E-02
366,1.05E-02
367,9.29E-03
368,7.45E-03
369,5.49E-03
370,3.69E-03
371,2.33E-03
372,1.62E-03
373,1.37E-03
374,1.28E-03
375,1.27E-03
376,1.30E-03
377,1.36E-03
378,1.39E-03
379,1.43E-03
380,1.44E-03
381,1.44E-03
382,1.41E-03
383,1.32E-03
384,1.21E-03
385,1.12E-03
386,1.02E-03
387,9.51E-04
388,9.02E-04
389,8.45E-04
390,8.02E-04
391,7.75E-04
392,7.48E-04
393,7.12E-04
394,6.64E-04
395,6.40E-04
396,6.31E-04
397,6.78E-04
398,9.44E-04
399,1.70E-03
400,3.39E-03
401,6.39E-03
402,1.00E-02
403,1.37E-02
404,1.69E-02
405,1.86E-02
406,1.81E-02
407,1.56E-02
408,1.23E-02
409,8.77E-03
410,5.63E-03
411,3.50E-03
412,2.54E-03
413,2.20E-03
414,2.14E-03
415,2.23E-03
416,2.33E-03
417,2.46E-03
418,2.57E-03
419,2.70E-03
420,2.78E-03
421,2.90E-03
422,3.03E-03
423,3.19E-03
424,3.37E-03
425,3.59E-03
426,3.82E-03
427,4.08E-03
428,4.49E-03
