wavelength,irradiance
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0.005
547,0.005
548,0.005
549,0.005
550,0.01
551,0.01
552,0.01
553,0.01
554,0.015
555,0.015
556,0.015
557,0.018
558,0.021
559,0.024
560,0.027
561,0.03
562,0.033
563,0.038
564,0.043
565,0.048
566,0.053
567,0.058
568,0.063
569,0.068
570,0.073
571,0.078
572,0.083
573,0.088
574,0.093
575,0.098
576,0.103
577,0.108
578,0.113
579,0.123
580,0.133
581,0.143
582,0.153
583,0.163
584,0.173
585,0.183
586,0.193
587,0.203
588,0.213
589,0.223
590,0.233
591,0.243
592,0.253
593,0.263
594,0.273
595,0.283
596,0.3
597,0.317
598,0.334
599,0.351
600,0.368
601,0.385
602,0.402
603,0.419
604,0.445
605,0.471
606,0.497
607,0.523
608,0.549
609,0.575
610,0.601
611,0.627
612,0.66
613,0.693
614,0.726
615,0.759
616,0.792
617,0.825
618,0.858
619,0.891
620,0.924
621,0.945
622,0.966
623,0.98
624,0.99
625,0.995
626,1
627,1
628,1
629,1
630,1
631,0.995
632,0.99
633,0.985
634,0.97
635,0.955
636,0.94
637,0.91
638,0.88
639,0.85
640,0.82
641,0.79
642,0.76
643,0.73
644,0.7
645,0.67
646,0.64
647,0.61
648,0.58
649,0.55
650,0.52
651,0.49
652,0.46
653,0.44
654,0.42
655,0.4
656,0.38
657,0.36
658,0.34
659,0.325
660,0.31
661,0.295
662,0.28
663,0.265
664,0.25
665,0.235
666,0.22
667,0.21
668,0.2
669,0.19
670,0.18
671,0.17
672,0.16
673,0.15
674,0.14
675,0.13
676,0.12
677,0.115
678,0.11
679,0.105
680,0.1
681,0.095
682,0.09
683,0.085
684,0.08
685,0.075
686,0.07
687,0.065
688,0.06
689,0.055
690,0.05
691,0.045
692,0.04
693,0.035
694,0.03
695,0.025
696,0.02
697,0.017
698,0.014
699,0.011
700,0.008
701,0.007
702,0.006
703,0.005
704,0.004
705,0.003
706,0.002
707,0.001
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
