wavelength,photopicCurve
300,0.00E+00
301,0.00E+00
302,0.00E+00
303,0.00E+00
304,0.00E+00
305,0.00E+00
306,0.00E+00
307,0.00E+00
308,0.00E+00
309,0.00E+00
310,0.00E+00
311,0.00E+00
312,0.00E+00
313,0.00E+00
314,0.00E+00
315,0.00E+00
316,0.00E+00
317,0.00E+00
318,0.00E+00
319,0.00E+00
320,0.00E+00
321,0.00E+00
322,0.00E+00
323,0.00E+00
324,0.00E+00
325,0.00E+00
326,0.00E+00
327,0.00E+00
328,0.00E+00
329,0.00E+00
330,0.00E+00
331,0.00E+00
332,0.00E+00
333,0.00E+00
334,0.00E+00
335,0.00E+00
336,0.00E+00
337,0.00E+00
338,0.00E+00
339,0.00E+00
340,0.00E+00
341,0.00E+00
342,0.00E+00
343,0.00E+00
344,0.00E+00
345,0.00E+00
346,0.00E+00
347,0.00E+00
348,0.00E+00
349,0.00E+00
350,0.00E+00
351,0.00E+00
352,0.00E+00
353,0.00E+00
354,0.00E+00
355,0.00E+00
356,0.00E+00
357,0.00E+00
358,0.00E+00
359,0.00E+00
360,0.00E+00
361,0.00E+00
362,0.00E+00
363,0.00E+00
364,0.00E+00
365,0.00E+00
366,0.00E+00
367,0.00E+00
368,0.00E+00
369,0.00E+00
370,0.00E+00
371,0.00E+00
372,0.00E+00
373,0.00E+00
374,0.00E+00
375,0.00E+00
376,0.00E+00
377,0.00E+00
378,0.00E+00
379,0.00E+00
380,0.00E+00
381,0.00E+00
382,0.00E+00
383,0.00E+00
384,0.00E+00
385,0.00E+00
386,0.00E+00
387,0.00E+00
388,0.00E+00
389,0.00E+00
390,4.15E-04
391,5.03E-04
392,6.08E-04
393,7.34E-04
394,8.84E-04
395,1.06E-03
396,1.27E-03
397,1.50E-03
398,1.78E-03
399,2.10E-03
400,2.45E-03
401,2.85E-03
402,3.30E-03
403,3.80E-03
404,4.35E-03
405,4.97E-03
406,5.66E-03
407,6.42E-03
408,7.25E-03
409,8.14E-03
410,9.08E-03
411,1.01E-02
412,1.11E-02
413,1.21E-02
414,1.32E-02
415,1.43E-02
416,1.55E-02
417,1.66E-02
418,1.79E-02
419,1.91E-02
420,2.03E-02
421,2.14E-02
422,2.26E-02
423,2.37E-02
424,2.49E-02
425,2.61E-02
426,2.74E-02
427,2.87E-02
428,3.02E-02
429,3.17E-02
430,3.32E-02
431,3.48E-02
432,3.64E-02
433,3.81E-02
434,3.98E-02
435,4.16E-02
436,4.34E-02
437,4.52E-02
438,4.70E-02
439,4.87E-02
440,5.03E-02
441,5.19E-02
442,5.33E-02
443,0.054706
444,0.0560634
445,0.0574339
446,0.0588511
447,0.0603081
448,0.0617864
449,0.0632657
450,0.0647235
451,0.0661475
452,0.0675726
453,0.0690493
454,0.0706328
455,0.0723834
456,0.0743596
457,0.0765938
458,0.0791144
459,0.0819535
460,0.0851482
461,0.0887266
462,0.0926601
463,0.0968972
464,0.101375
465,0.106014
466,0.110738
467,0.115511
468,0.120312
469,0.125116
470,0.129896
471,0.13463
472,0.139331
473,0.144023
474,0.148737
475,0.153507
476,0.158364
477,0.16332
478,0.168376
479,0.173537
480,0.178805
481,0.184182
482,0.189656
483,0.19521
484,0.200826
485,0.206483
486,0.212183
487,0.218028
488,0.224159
489,0.23073
490,0.237916
491,0.245871
492,0.254602
493,0.264076
494,0.274249
495,0.285068
496,0.296484
497,0.308501
498,0.321139
499,0.334418
500,0.348354
501,0.36296
502,0.378228
503,0.394136
504,0.410658
505,0.42776
506,0.445399
507,0.46354
508,0.482138
509,0.501143
510,0.520497
