wavelength,Global tilt  W*m-2*nm-1
280.0,4.7309E-23
290.0,6.0168E-09
300.0,1.0205E-03
301.0,6.0124E-03
302.0,1.1004E-02
303.0,1.5996E-02
304.0,2.0988E-02
305.0,2.5980E-02
306.0,3.0972E-02
307.0,3.5963E-02
308.0,4.0955E-02
309.0,4.5947E-02
310.0,5.0939E-02
311.0,6.6372E-02
312.0,8.1805E-02
313.0,9.7238E-02
314.0,1.1267E-01
315.0,1.2810E-01
316.0,1.4354E-01
317.0,1.5897E-01
318.0,1.7440E-01
319.0,1.8984E-01
320.0,2.0527E-01
321.0,2.3188E-01
322.0,2.5849E-01
323.0,2.8511E-01
324.0,3.1172E-01
325.0,3.3833E-01
326.0,3.6494E-01
327.0,3.9155E-01
328.0,4.1817E-01
329.0,4.4478E-01
330.0,4.7139E-01
331.0,4.7443E-01
332.0,4.7747E-01
333.0,4.8051E-01
334.0,4.8355E-01
335.0,4.8660E-01
336.0,4.8964E-01
337.0,4.9268E-01
338.0,4.9572E-01
339.0,4.9876E-01
340.0,5.0180E-01
341.0,5.0442E-01
342.0,5.0704E-01
343.0,5.0965E-01
344.0,5.1227E-01
345.0,5.1489E-01
346.0,5.1751E-01
347.0,5.2013E-01
348.0,5.2274E-01
349.0,5.2536E-01
350.0,5.2798E-01
351.0,5.3500E-01
352.0,5.4202E-01
353.0,5.4904E-01
354.0,5.5606E-01
355.0,5.6308E-01
356.0,5.7009E-01
357.0,5.7711E-01
358.0,5.8413E-01
359.0,5.9115E-01
360.0,5.9817E-01
361.0,6.1386E-01
362.0,6.2955E-01
363.0,6.4524E-01
364.0,6.6093E-01
365.0,6.7662E-01
366.0,6.9231E-01
367.0,7.0800E-01
368.0,7.2369E-01
369.0,7.3938E-01
370.0,7.5507E-01
371.0,7.4964E-01
372.0,7.4421E-01
373.0,7.3878E-01
374.0,7.3335E-01
375.0,7.2792E-01
376.0,7.2249E-01
377.0,7.1706E-01
378.0,7.1163E-01
379.0,7.0620E-01
380.0,7.0077E-01
381.0,7.1039E-01
382.0,7.2001E-01
383.0,7.2964E-01
384.0,7.3926E-01
385.0,7.4888E-01
386.0,7.5850E-01
387.0,7.6812E-01
388.0,7.7775E-01
389.0,7.8737E-01
390.0,7.9699E-01
391.0,8.2870E-01
392.0,8.6041E-01
393.0,8.9212E-01
394.0,9.2383E-01
395.0,9.5555E-01
396.0,9.8726E-01
397.0,1.0190E+00
398.0,1.0507E+00
399.0,1.0824E+00
400.0,1.1141E+00
401.0,1.1075E+00
402.0,1.1010E+00
403.0,1.0944E+00
404.0,1.0879E+00
405.0,1.0813E+00
406.0,1.0747E+00
407.0,1.0682E+00
408.0,1.0616E+00
409.0,1.0551E+00
410.0,1.0485E+00
411.0,1.0560E+00
412.0,1.0634E+00
413.0,1.0709E+00
414.0,1.0784E+00
415.0,1.0859E+00
416.0,1.0933E+00
417.0,1.1008E+00
418.0,1.1083E+00
419.0,1.1157E+00
420.0,1.1232E+00
421.0,1.0983E+00
422.0,1.0735E+00
423.0,1.0486E+00
424.0,1.0238E+00
425.0,9.9891E-01
426.0,9.7405E-01
427.0,9.4919E-01
428.0,9.2434E-01
429.0,8.9948E-01
430.0,8.7462E-01
431.0,9.2215E-01
432.0,9.6968E-01
433.0,1.0172E+00
434.0,1.0647E+00
435.0,1.1123E+00
436.0,1.1598E+00
437.0,1.2073E+00
438.0,1.2548E+00
439.0,1.3024E+00
440.0,1.3499E+00
441.0,1.37086
442.0,1.39182
443.0,1.41278
444.0,1.43374
445.0,1.4547
446.0,1.47566
447.0,1.49662
448.0,1.51758
449.0,1.53854
450.0,1.5595
451.0,1.55646
452.0,1.55342
453.0,1.55038
454.0,1.54734
455.0,1.5443
456.0,1.54126
457.0,1.53822
458.0,1.53518
459.0,1.53214
460.0,1.5291
461.0,1.52696
462.0,1.52482
463.0,1.52268
464.0,1.52054
465.0,1.5184
466.0,1.51626
467.0,1.51412
468.0,1.51198
469.0,1.50984
470.0,1.5077
471.0,1.51874
472.0,1.52978
473.0,1.54082
474.0,1.55186
475.0,1.5629
476.0,1.57394
477.0,1.58498
478.0,1.59602
479.0,1.60706
480.0,1.6181
481.0,1.61853
482.0,1.61896
483.0,1.61939
484.0,1.61982
485.0,1.62025
486.0,1.62068
487.0,1.62111
488.0,1.62154
489.0,1.62197
490.0,1.6224
491.0,1.61467
492.0,1.60694
493.0,1.59921
494.0,1.59148
495.0,1.58375
496.0,1.57602
497.0,1.56829
498.0,1.56056
499.0,1.55283
500.0,1.5451
501.0,1.5454
502.0,1.5457
503.0,1.546
504.0,1.5463
505.0,1.5466
506.0,1.5469
507.0,1.5472
508.0,1.5475
509.0,1.5478
510.0,1.5481
511.0,1.54565
512.0,1.5432
513.0,1.54075
514.0,1.5383
515.0,1.53585
516.0,1.5334
517.0,1.53095
518.0,1.5285
519.0,1.52605
520.0,1.5236
521.0,1.5257
522.0,1.5278
523.0,1.5299
524.0,1.532
525.0,1.5341
526.0,1.5362
527.0,1.5383
528.0,1.5404
529.0,1.5425
530.0,1.5446
531.0,1.53839
532.0,1.53218
533.0,1.52597
534.0,1.51976
535.0,1.51355
536.0,1.50734
537.0,1.50113
538.0,1.49492
539.0,1.48871
540.0,1.4825
541.0,1.48824
542.0,1.49398
543.0,1.49972
544.0,1.50546
545.0,1.5112
546.0,1.51694
547.0,1.52268
548.0,1.52842
549.0,1.53416
550.0,1.5399
551.0,1.53331
552.0,1.52672
553.0,1.52013
554.0,1.51354
555.0,1.50695
556.0,1.50036
557.0,1.49377
558.0,1.48718
559.0,1.48059
560.0,1.474
561.0,1.47476
562.0,1.47552
563.0,1.47628
564.0,1.47704
565.0,1.4778
566.0,1.47856
567.0,1.47932
568.0,1.48008
569.0,1.48084
570.0,1.4816
571.0,1.48364
572.0,1.48568
573.0,1.48772
574.0,1.48976
575.0,1.4918
576.0,1.49384
577.0,1.49588
578.0,1.49792
579.0,1.49996
580.0,1.502
581.0,1.48889
582.0,1.47578
583.0,1.46267
584.0,1.44956
585.0,1.43645
586.0,1.42334
587.0,1.41023
588.0,1.39712
589.0,1.38401
590.0,1.3709
591.0,1.38134
592.0,1.39178
593.0,1.40222
594.0,1.41266
595.0,1.4231
596.0,1.43354
597.0,1.44398
598.0,1.45442
599.0,1.46486
600.0,1.4753
601.0,1.47463
602.0,1.47396
603.0,1.47329
604.0,1.47262
605.0,1.47195
606.0,1.47128
607.0,1.47061
608.0,1.46994
609.0,1.46927
610.0,1.4686
611.0,1.46913
612.0,1.46966
613.0,1.47019
614.0,1.47072
615.0,1.47125
616.0,1.47178
617.0,1.47231
618.0,1.47284
619.0,1.47337
620.0,1.4739
621.0,1.46575
622.0,1.4576
623.0,1.44945
624.0,1.4413
625.0,1.43315
626.0,1.425
627.0,1.41685
628.0,1.4087
629.0,1.40055
630.0,1.3924
631.0,1.39656
632.0,1.40072
633.0,1.40488
634.0,1.40904
635.0,1.4132
636.0,1.41736
637.0,1.42152
638.0,1.42568
639.0,1.42984
640.0,1.434
641.0,1.42654
642.0,1.41908
643.0,1.41162
644.0,1.40416
645.0,1.3967
646.0,1.38924
647.0,1.38178
648.0,1.37432
649.0,1.36686
650.0,1.3594
651.0,1.36338
652.0,1.36736
653.0,1.37134
654.0,1.37532
655.0,1.3793
656.0,1.38328
657.0,1.38726
658.0,1.39124
659.0,1.39522
660.0,1.3992
661.0,1.40124
662.0,1.40328
663.0,1.40532
664.0,1.40736
665.0,1.4094
666.0,1.41144
667.0,1.41348
668.0,1.41552
669.0,1.41756
670.0,1.4196
671.0,1.41733
672.0,1.41506
673.0,1.41279
674.0,1.41052
675.0,1.40825
676.0,1.40598
677.0,1.40371
678.0,1.40144
679.0,1.39917
680.0,1.3969
681.0,1.37542
682.0,1.35394
683.0,1.33246
684.0,1.31098
685.0,1.2895
686.0,1.26802
687.0,1.24654
688.0,1.22506
689.0,1.20358
690.0,1.1821
691.0,1.19212
692.0,1.20214
693.0,1.21216
694.0,1.22218
695.0,1.2322
696.0,1.24222
697.0,1.25224
698.0,1.26226
699.0,1.27228
700.0,1.2823
701.0,1.28582
702.0,1.28934
703.0,1.29286
704.0,1.29638
705.0,1.2999
706.0,1.30342
707.0,1.30694
708.0,1.31046
709.0,1.31398
710.0,1.3175
711.0,1.2843
712.0,1.2511
713.0,1.2179
714.0,1.1847
715.0,1.1515
716.0,1.1183
717.0,1.0851
718.0,1.0519
719.0,1.0187
720.0,0.9855
721.0,0.9998
722.0,1.0141
723.0,1.0284
724.0,1.0427
725.0,1.057
726.0,1.0713
727.0,1.0856
728.0,1.0999
729.0,1.1142
730.0,1.1285
731.0,1.1376
732.0,1.1467
733.0,1.1558
734.0,1.1649
735.0,1.174
736.0,1.1831
737.0,1.1922
738.0,1.2013
739.0,1.2104
740.0,1.2195
741.0,1.22096
742.0,1.22242
743.0,1.22388
744.0,1.22534
745.0,1.2268
746.0,1.22826
747.0,1.22972
748.0,1.23118
749.0,1.23264
750.0,1.2341
751.0,1.137294
752.0,1.040488
753.0,0.943682
754.0,0.846876
755.0,0.75007
756.0,0.653264
757.0,0.556458
758.0,0.459652
759.0,0.362846
760.0,0.26604
761.0,0.355516
762.0,0.444992
763.0,0.534468
764.0,0.623944
765.0,0.71342
766.0,0.802896
767.0,0.892372
768.0,0.981848
769.0,1.071324
770.0,1.1608
771.0,1.16108
772.0,1.16136
773.0,1.16164
774.0,1.16192
775.0,1.1622
776.0,1.16248
777.0,1.16276
778.0,1.16304
779.0,1.16332
780.0,1.1636
781.0,1.15634
782.0,1.14908
783.0,1.14182
784.0,1.13456
785.0,1.1273
786.0,1.12004
787.0,1.11278
788.0,1.10552
789.0,1.09826
790.0,1.091
791.0,1.08915
792.0,1.0873
793.0,1.08545
794.0,1.0836
795.0,1.08175
796.0,1.0799
797.0,1.07805
798.0,1.0762
799.0,1.07435
800.0,1.0725
801.0,1.07084
802.0,1.06918
803.0,1.06752
804.0,1.06586
805.0,1.0642
806.0,1.06254
807.0,1.06088
808.0,1.05922
809.0,1.05756
810.0,1.0559
811.0,1.036498
812.0,1.017096
813.0,0.997694
814.0,0.978292
815.0,0.95889
816.0,0.939488
817.0,0.920086
818.0,0.900684
819.0,0.881282
820.0,0.86188
821.0,0.867293
822.0,0.872706
823.0,0.878119
824.0,0.883532
825.0,0.888945
826.0,0.894358
827.0,0.899771
828.0,0.905184
829.0,0.910597
830.0,0.91601
831.0,0.925979
832.0,0.935948
833.0,0.945917
834.0,0.955886
835.0,0.965855
836.0,0.975824
837.0,0.985793
838.0,0.995762
839.0,1.005731
840.0,1.0157
841.0,1.003502
842.0,0.991304
843.0,0.979106
844.0,0.966908
845.0,0.95471
846.0,0.942512
847.0,0.930314
848.0,0.918116
849.0,0.905918
850.0,0.89372
851.0,0.903164
852.0,0.912608
853.0,0.922052
854.0,0.931496
855.0,0.94094
856.0,0.950384
857.0,0.959828
858.0,0.969272
859.0,0.978716
860.0,0.98816
861.0,0.986099
862.0,0.984038
863.0,0.981977
864.0,0.979916
865.0,0.977855
866.0,0.975794
867.0,0.973733
868.0,0.971672
869.0,0.969611
870.0,0.96755
871.0,0.964752
872.0,0.961954
873.0,0.959156
874.0,0.956358
875.0,0.95356
876.0,0.950762
877.0,0.947964
878.0,0.945166
879.0,0.942368
880.0,0.93957
881.0,0.938006
882.0,0.936442
883.0,0.934878
884.0,0.933314
885.0,0.93175
886.0,0.930186
887.0,0.928622
888.0,0.927058
889.0,0.925494
890.0,0.92393
891.0,0.905797
892.0,0.887664
893.0,0.869531
894.0,0.851398
895.0,0.833265
896.0,0.815132
897.0,0.796999
898.0,0.778866
899.0,0.760733
900.0,0.7426
910.0,0.62467
920.0,0.74414
930.0,0.4321
940.0,0.47181
950.0,0.14726
960.0,0.42066
970.0,0.63461
980.0,0.60468
990.0,0.73227
1000.0,0.73532
1010.0,0.71914
1020.0,0.69896
1030.0,0.69055
1040.0,0.6717
1050.0,0.65463
